name,percentage,2014,2013,2012,2011,2010,2009,2008,2007,2006
Iraq,1.04,"369,954","401,466","746,190","1,428,308","1,683,575","1,785,212","1,873,519","2,279,245","1,450,905"
Ireland,0.00,10,9,9,8,8,7,7,10,4
Israel,0.01,979,"1,041","1,340","1,335","1,301","1,310","1,494","1,541",882
Italy,0.00,67,66,66,58,50,45,62,90,105
Jamaica,0.06,"1,692","1,503","1,407","1,252","1,057",909,826,766,660
Japan,0.00,262,157,172,176,152,150,185,521,168
Jordan,0.02,"1,718","1,632","2,358","2,248","2,252","2,127","1,889","1,786","1,604"
Kazakhstan,0.01,"2,224","2,123","3,571","3,500","3,640","3,744","4,825","5,235","7,376"
Kenya,0.02,"8,553","8,586","8,950","8,745","8,602","9,620","9,688","7,546","5,356"
Kiribati,0.00,3,20,33,33,33,33,38,38,41
Kuwait,0.03,981,977,"1,197","1,120",988,938,854,746,617
Kyrgyzstan,0.04,"2,451","2,301","3,489","3,162","2,744","2,612","2,517","2,254","2,488"
Laos,0.11,"7,482","7,744","7,983","8,087","8,413","8,398","8,598","10,013","26,447"
Latvia,0.01,213,233,662,709,713,791,763,662,"1,424"
Lebanon,0.08,"4,273","3,819","15,106","15,013","15,869","16,259","12,966","13,093","12,252"
Lesotho,0.00,17,15,13,11,11,10,8,7,9
Liberia,0.31,"13,545","17,531","23,401","66,752","70,089","71,572","75,213","91,537","160,548"
Libya,0.07,"4,203","3,314","5,249","3,335","2,309","2,202","2,084","1,954","1,573"
Lithuania,0.01,183,220,491,528,515,501,490,466,942
Luxembourg,0.00,2,1,,,,,,2,2
Macao,0.00,5,1,1,10,10,9,9,9,9
Macedonia,0.08,"1,759","1,628","7,589","7,684","7,890","7,926","7,521","8,077","7,940"
Madagascar,0.00,281,296,300,288,269,274,277,284,260
Malawi,0.00,361,326,277,222,171,130,106,97,113
Malaysia,0.00,468,485,531,537,552,532,608,615,584
Maldives,0.01,36,31,24,21,19,16,16,17,17
Mali,0.81,"139,267","152,828","149,942","4,295","3,663","2,926","1,758",994,594
Malta,0.00,5,6,6,6,6,9,9,9,28
Marshall Islands,0.01,3,3,2,,,,,,
Mauritania,0.85,"34,113","34,252","33,765","39,929","37,733","39,143","45,601","33,108","33,428"
Mauritius,0.01,94,81,62,42,28,23,24,71,80
Mexico,0.01,"10,666","9,390","8,435","7,472","6,816","6,435","6,162","5,572","3,304"
Moldova,0.05,"2,233","2,207","6,148","6,264","6,200","5,925","5,555","4,918","11,680"
Monaco,0.01,3,3,4,4,2,1,,,
Mongolia,0.07,"2,163","2,059","2,114","1,985","1,724","1,495","1,333","1,101",868
Montenegro,0.10,607,546,"4,054","3,698","3,246","2,582","1,283",557,135
Morocco,0.00,"1,539","1,308","2,405","2,312","2,284","2,285","3,533","4,039","4,710"
Mozambique,0.00,58,56,160,155,131,136,208,222,231
Myanmar,0.42,"223,896","222,053","215,340","214,594","215,644","206,650","184,347","191,256","202,826"
Namibia,0.05,"1,253","1,143","1,098","1,073","1,017",921,985,"1,128","1,203"
Nauru,0.00,,,,,,,3,3,3
Nepal,0.03,"8,561","8,108","7,610","6,852","5,884","5,108","4,189","3,363","2,647"
Netherlands,0.00,68,64,71,64,53,44,46,43,39
New Zealand,0.00,17,17,20,18,15,10,10,13,8
Nicaragua,0.03,"1,587","1,538","1,531","1,468","1,431","1,478","1,537","1,900","1,828"
Niger,0.00,739,683,832,819,803,822,796,827,818
Nigeria,0.03,"54,563","25,465","18,020","16,840","15,639","15,608","14,168","13,902","13,253"
Niue,1.11,18,14,10,7,,,,,
Norfolk Island,0.05,1,,,,,,,,
North Korea,0.01,"1,282","1,167","1,132","1,052",917,881,886,605,397
Norway,0.00,13,13,9,7,7,4,4,3,4
State of Palestine,2.10,"97,212","96,044","94,821","94,121","93,299","95,177","333,990","335,219","334,142"
Oman,0.00,29,26,65,60,63,64,56,43,39
Pakistan,0.17,"315,805","31,893","33,673","33,009","33,591","35,132","32,403","31,858","25,639"
Palau,0.00,1,1,,,,,1,1,
Panama,0.00,89,105,107,100,100,105,111,109,75
Papua New Guinea,0.00,288,221,174,128,89,70,46,36,31
Paraguay,0.00,94,95,101,91,86,77,101,102,105
Peru,0.01,"4,343","4,768","5,212","5,491","5,834","6,271","7,339","7,743","6,985"
Philippines,0.00,666,717,966,933,953,979,"1,346","1,549",886
Poland,0.00,"1,310","1,429","1,640","1,815","1,764","2,059","2,391","2,915","13,513"
Portugal,0.00,31,32,32,28,30,31,36,32,25
Qatar,0.00,21,17,124,95,112,68,71,62,52
Romania,0.01,"1,918","2,330","2,806","3,428","3,933","4,357","4,755","5,306","7,234"
Russia,0.05,"70,562","74,316","110,586","109,784","108,261","109,455","103,061","93,224","159,381"
Rwanda,0.70,"79,408","83,955","97,373","106,833","114,836","129,109","72,530","80,955","92,966"
Saint Kitts and Nevis,0.04,23,15,12,9,7,4,4,2,2
Saint Lucia,0.50,922,710,566,433,334,314,288,227,163
Saint Vincent and the Grenadines,1.56,"1,736","1,535","1,316","1,127",946,849,750,646,387
Samoa,0.00,1,1,1,1,1,,4,2,3
San Marino,0.00,1,1,1,1,2,1,1,2,2
Sao Tome and Principe,0.01,22,31,32,33,33,33,35,33,32
Saudi Arabia,0.00,630,584,817,745,667,633,712,753,617
Senegal,0.16,"23,118","19,822","18,724","17,722","16,267","16,305","16,006","15,896","15,163"
Serbia and Kosovo,0.51,"45,464","48,436","157,623","161,363","182,955","195,167","185,432","165,572","174,027"
Seychelles,0.03,25,26,29,42,49,49,53,55,61
Sierra Leone,0.08,"4,993","5,311","6,202","8,002","11,277","15,417","32,536","32,127","42,863"
Singapore,0.00,59,65,68,67,76,80,109,116,111
Slovakia,0.01,319,323,239,269,158,334,331,342,741
Slovenia,0.00,26,28,34,32,38,39,52,52,"1,760"
Solomon Islands,0.01,70,61,61,72,75,66,52,48,38
Somalia,9.52,"1,106,434","1,121,770","1,136,718","1,075,148","770,148","678,308","559,153","455,356","464,038"
South Africa,0.00,424,423,420,429,380,384,453,474,510
South Korea,0.00,481,500,558,514,585,573,"1,104","1,188","1,335"
South Sudan,4.92,"616,143","114,371","86,909",1,,,,,
Spain,0.00,60,56,52,43,42,34,27,41,"2,444"
Sri Lanka,0.59,"122,010","123,083","132,721","136,605","141,063","145,712","137,745","134,948","116,966"
Stateless,0.28,"27,915","20,202","19,673","18,171","16,909","15,864","14,171","13,169","11,259"
Sudan,1.65,"659,408","636,405","558,199","491,013","379,067","348,500","397,013","523,032","686,311"
Suriname,0.00,17,17,15,20,25,45,50,63,66
Swaziland,0.01,161,109,65,43,36,32,32,25,22
Sweden,0.00,18,16,19,23,24,18,15,16,16
Switzerland,0.00,19,15,17,20,19,18,32,31,36
Syria,17.09,"3,869,626","2,457,241","728,698","19,900","18,428","17,884","15,186","13,671","12,337"
Tajikistan,0.01,725,662,674,612,577,562,544,541,645
Tanzania,0.00,858,"1,040","1,122","1,163","1,144","1,204","1,270","1,255","1,667"
Thailand,0.00,231,217,369,359,348,486,"1,801","2,313","3,325"
Tibet,0.47,"15,069","15,065","15,000","15,068","15,082","20,080","20,079","20,170","20,184"
East Timor,0.00,13,10,9,8,8,7,7,6,251
Togo,0.13,"9,275","10,318","15,692","17,870","18,329","18,377","16,749","22,501","27,332"
Tonga,0.02,22,18,13,10,6,5,7,5,6
Trinidad and Tobago,0.03,371,336,333,297,255,240,231,211,153
Tunisia,0.01,"1,485","1,363","1,934","1,951","2,173","2,259","2,349","2,505","2,845"
Turkey,0.08,"63,892","66,575","135,370","139,778","146,793","146,386","214,376","221,939","227,232"
Turkmenistan,0.01,484,519,723,726,738,743,736,678,692
Turks and Caicos Islands,0.04,15,15,14,14,1,1,1,1,1
Tuvalu,0.02,2,2,1,1,,,2,2,3
Uganda,0.02,"7,190","8,176","5,608","5,680","6,441","7,554","7,548","21,341","21,752"
Ukraine,0.53,"237,625","5,163","25,254","25,379","25,111","24,522","28,424","25,985","63,723"
UAE,0.00,90,90,584,486,424,414,256,308,265
United Kingdom,0.00,141,142,153,150,152,155,184,200,174
United States,0.00,"4,987","4,760","4,453","3,777","3,025","2,367","2,136","2,174","1,356"
Uruguay,0.00,124,147,171,184,186,188,199,197,163
Uzbekistan,0.02,"4,795","4,952","7,088","7,164","6,886","6,669","6,308","5,663","9,102"
Vanuatu,0.00,1,1,1,1,1,,,,
Various/unknown,,"99,577","105,643","125,921","137,412","160,678","174,957","168,381","188,476","246,951"
Venezuela,0.03,"8,009","8,395","8,208","7,577","6,701","6,221","5,807","5,094","3,829"
Vietnam,0.34,"313,417","314,106","336,939","337,829","338,698","339,289","328,183","327,776","374,279"
Western Sahara,13.89,"90,482","90,504","90,452","90,413","90,415","90,474","90,530","90,594","90,614"
Yemen,0.01,"2,631","2,428","2,593","2,322","2,075","1,933","1,776","1,631","1,362"
Zambia,0.00,316,232,243,240,228,206,195,196,203
Zimbabwe,0.15,"22,492","19,734","22,101","25,048","24,089","22,449","16,841","14,374","12,782"
